项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,其他数量,其他百分比,总器件数
25BW060-355TC3-D38,正常,1_np1v,-1v~1v,7,0.7%,0,0.0%,0,0.0%,1017,99.3%,0,0.0%,1024
25BW060-355TC3-D38,正常,2_np1.5v,-1.5v~1.5v,16,1.6%,0,0.0%,0,0.0%,1008,98.4%,0,0.0%,1024
25BW060-355TC3-D38,正常,3_np2v,-2v~2v,279,27.2%,0,0.0%,0,0.0%,745,72.8%,0,0.0%,1024
25BW060-355TC3-D38,正常,4_np2.5v,-2.5v~2.5v,615,60.1%,0,0.0%,0,0.0%,409,39.9%,0,0.0%,1024
25BW060-355TC3-D38,正常,5_n3p2.5,-3v~2.5v,409,39.9%,0,0.0%,0,0.0%,615,60.1%,0,0.0%,1024
25BW062-363TC3-D34_20260401,正常,1_np1v,-1v~1v,298,29.1%,0,0.0%,0,0.0%,726,70.9%,0,0.0%,1024
25BW062-363TC3-D34_20260401,正常,2_np1.5v,-1.5v~1.5v,378,36.9%,0,0.0%,0,0.0%,646,63.1%,0,0.0%,1024
25BW062-363TC3-D34_20260401,正常,3_np2v,-2v~2v,450,43.9%,0,0.0%,0,0.0%,574,56.1%,0,0.0%,1024
25BW062-363TC3-D34_20260401,正常,4_n2.5p2,-2.5v~2v,346,33.8%,0,0.0%,1,0.1%,677,66.1%,0,0.0%,1024
25BW062-363TC3-D34_20260401,正常,5_np2.5,-2.5v~2.5v,137,13.4%,0,0.0%,0,0.0%,887,86.6%,0,0.0%,1024
25BW062-366TC3-D33,正常,1_np1v 326,-1v~1v 326,326,31.8%,32,3.1%,0,0.0%,666,65.0%,0,0.0%,1024
25BW062-366TC3-D33,正常,2_np1.5v 662,-1.5v~1.5v 662,662,64.6%,32,3.1%,0,0.0%,330,32.2%,0,0.0%,1024
25BW062-366TC3-D33,正常,3_n1.7p1.2  540,-1.7v~1.2v  540,541,52.8%,32,3.1%,3,0.3%,448,43.8%,0,0.0%,1024
25BW062-366TC3-D33,正常,4_n1.7p1.5 412,-1.7v~1.5v 412,414,40.4%,32,3.1%,1,0.1%,577,56.3%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,1_np1v,-1v~1v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,2_np1.5v,-1.5v~1.5v,5,0.5%,0,0.0%,0,0.0%,1019,99.5%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,4_np2.5v,-2.5v~2.5v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,5_np3v,-3v~3v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,6_np3.3v,-3.3v~3.3v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,1024
25BW085-456TC3-D310_20260608,正常,7_np3.6v,-3.6v~3.6v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,1024
25BW088-470TC3-D310,正常,1_np1v,-1v~1v,4,0.4%,0,0.0%,0,0.0%,1020,99.6%,0,0.0%,1024
